"DATA","Barri","Districte","F1","F2","RENDA","Q1","EDAT","ID4","ID5","ID7","ID9_rec","P1","P1A","Q1A","P1B","P2_1","P2_2","P2_3","P2_4","P2_6","P2_7","P2_5","P2_5B","P2_LLAR","P2","P2A","P2B","P3_0","P3_1","P3_2","P3_3","P3_95","P3_98","P3_99","P4","P5A_1","P5A_2","P5A_3","P5A_4","P5A_5","P5A_6","P5A_7","P5A_8","P5A_9","P5A_10","P5A_11","P5A_12","P5A_13","P5A_14","P5A_15","P5A_16","P5A_17","P5A_18","P5A_18_cod","P5A_19","P5A_20","P5A_1rec","P5A_2rec","P5A_3rec","P5A_4rec","P5A_5rec","P5A_6rec","P5A_7rec","P5A_8rec","P5A_9rec","P5A_10rec","P5A_11rec","P5A_12rec","P5A_13rec","P5A_14rec","P5A_15rec","P5A_16rec","P5A_17rec","P5A_18rec","P5A_19rec","P5A_20rec","P6","P7","P8","P8B","P9","P9B","P10","P10B_1","P10B_2","P10B_3","P10B_4","P10B_5","P10B_6","P10B_95","P10B_98","P10B_99","P11_0","P11_1","P11_2","P11_3","P11_4","P11_5","P11_98","P11_99","P11B","P11C_1","P11C_2","P11C_3","P11C_4","P11C_5","P11C_6","P11C_95","P11C_98","P11C_99","P12","Q12","P13","P13B_1","P13B_2","P13B_3","P13B_4","P13B_5","P13B_98","P13B_99","ID10","ID11","P14","P14_1cod","P14_2cod","Pes"
2020-10-19,50,8,1,1,1,2,5,1,1,2,2,1,2,10,,2,1,1,0,0,0,0,,4,1,1,,,1,,,,,,1,4,1,5,5,5,5,1,4,4,4,5,5,5,5,5,4,5,5,,1,5,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,0,,4,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,6,3,,,,,,,,2,2,,,,0.5194694
2020-10-19,28,6,1,1,3,1,7,1,3,3,2,2,,,7,0,2,0,0,0,0,0,,2,2,,,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,1,2,,,,0.9256081
2020-10-19,7,2,1,1,5,1,6,1,3,4,2,1,2,9,,3,1,2,1,0,0,0,,7,1,1,,,1,,,,,,1,3,1,4,5,5,1,3,4,4,5,2,5,5,5,5,4,5,5,,4,5,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,1,2,2,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,2,,,5,,,2,2,,,,0.621277
2020-10-19,44,8,1,1,1,2,7,1,3,4,2,1,2,6,,0,2,1,1,0,0,0,,4,2,,,0,,,,,,,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,3,2,,,,0.6166442
2020-10-19,25,5,1,1,5,2,7,1,3,3,2,1,1,10,,1,0,1,1,0,0,0,,3,1,1,,,1,,,,,,1,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,,5,5,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,2,2,,,,0.6122533
2020-10-19,31,6,1,1,4,2,6,3,3,1,2,1,2,7,,1,2,1,0,0,0,0,,4,1,1,,,1,,,,,,1,1,1,1,2,5,1,1,4,5,4,4,5,5,5,4,5,5,5,,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,2,1,1,1,0,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,5,2,,,,0.7058724
2020-10-20,9,2,1,1,3,1,6,1,3,3,2,1,2,10,,3,1,2,0,0,0,0,,6,1,1,,,1,,,,,,1,1,1,5,5,5,5,2,4,5,5,3,5,5,5,3,5,5,5,,5,5,1,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,3,,,,,,,,4,2,,,,0.9409094
2020-10-19,58,9,1,1,1,1,4,1,1,4,1,1,2,10,,2,1,1,1,0,0,0,,5,2,,,,1,,,,,,1,3,1,1,1,5,3,1,1,3,3,1,5,5,5,4,1,5,5,,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,0,,1,5,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,2,,,,,,,,2,2,,,,0.5916313
2020-10-19,67,10,1,1,4,2,5,1,1,4,2,1,2,8,,3,2,2,1,0,0,0,,8,1,1,,,1,2,,,,,1,1,1,1,1,4,2,1,3,4,4,2,4,5,5,5,4,4,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,0,,2,4,2,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,0,,1,,2,3,4,,,,5,2,,,,0.6953474
2020-10-19,25,5,1,1,5,2,6,1,3,1,2,1,2,3,,1,1,0,1,0,1,0,,3,1,1,,,1,,,,,,1,1,1,2,1,5,5,1,3,5,3,1,5,5,5,1,4,5,3,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,2,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,5,2,,,,0.6378259
2020-10-19,24,5,1,1,5,2,7,1,3,3,2,2,,,6,2,1,2,0,0,0,0,,5,1,1,,,,,,,,99,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,5,1,2,,2,0.6122533
2020-10-19,55,8,1,1,1,2,2,1,1,4,2,1,2,7,,4,0,1,0,0,1,0,,5,1,1,,,1,,,,,,1,1,1,3,1,2,5,1,4,3,3,2,3,5,2,3,2,5,5,,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,5,,4,2,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,2,9,3,,,,,,,,5,2,,,,0.6941867
2020-10-19,10,2,1,1,3,1,5,1,1,3,2,1,2,8,,2,2,2,0,0,0,1,2,6,1,1,,,1,2,,,,,1,1,1,3,1,2,5,1,1,3,4,2,2,2,1,3,2,3,5,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,,2,2,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,6,2,,,,,,,,5,2,,,,0.7415779
2020-10-19,31,6,1,1,4,2,7,1,3,1,2,1,1,10,,1,0,0,1,0,0,0,,2,1,2,2,,1,,,,,,2,4,1,4,5,5,4,1,4,5,5,3,4,5,5,5,5,5,5,,5,5,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,0,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,2,,,,,,,,5,2,,,,0.7227577
2020-10-19,8,2,1,1,4,2,5,2,1,3,2,1,4,9,,2,0,2,0,0,0,0,,4,1,1,,,1,2,,,,,1,1,1,2,1,5,5,2,4,4,4,1,5,5,5,5,4,5,5,,1,5,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,0,,1,4,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,98,2,,,,,,,,5,2,,,,0.6953474
2020-10-19,32,6,1,1,3,2,5,1,2,3,2,1,2,7,,2,0,1,1,0,0,0,,4,1,1,,,1,,,,,,1,2,1,2,1,3,5,1,2,3,4,5,4,5,5,3,4,5,3,1,5,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,0,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,6,3,,,,,,,,3,2,,,,0.80964
2020-10-19,28,6,1,1,3,1,1,1,1,2,2,1,2,8,,3,0,3,2,1,0,0,,8,1,1,,,1,2,,,,,1,1,1,2,1,4,2,2,3,4,4,2,4,5,4,4,4,4,5,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,0,,2,4,2,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,1,,3,,,,,,,,5,2,,,,1.062579
2020-10-19,50,8,1,1,1,2,5,1,3,3,2,1,1,4,,2,1,0,0,0,0,0,,3,1,98,,,,,,,98,,1,5,1,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,,5,4,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,,3,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,2,2,,,,0.5194694
2020-10-20,5,2,1,1,3,1,6,1,3,3,2,1,2,7,,0,1,0,1,0,0,0,,2,2,,,,1,,,,,,1,4,2,5,5,5,5,1,5,1,3,3,5,5,5,3,5,5,5,,5,5,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,5,2,,,,0.9409094
2020-10-19,51,8,1,1,1,2,7,1,3,3,2,2,,,6,0,0,0,0,0,0,0,,0,2,,,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,1,2,,,,0.6166442
2020-10-19,61,9,1,1,2,2,1,1,1,4,2,1,2,8,,4,0,4,1,0,0,0,,9,1,1,,,1,2,,,,,1,1,1,2,1,5,5,1,3,3,4,2,1,5,3,4,4,5,3,2,5,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,0,,1,2,2,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,2,,,,,,,,5,2,,,,1.8311605
2020-10-19,5,2,1,1,3,2,6,1,3,1,2,1,2,9,,1,0,1,0,0,1,0,,2,1,2,98,,1,2,,,,,1,1,1,5,5,5,5,1,4,4,4,2,5,5,5,3,3,5,3,2,5,3,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,6,10,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,9,1,,2,,4,,,,5,2,,,,0.91384
2020-10-19,18,3,1,1,2,1,6,1,3,3,2,1,2,8,,3,1,1,1,0,1,0,,6,1,2,2,,1,,,,,,1,1,1,3,5,5,5,1,4,1,4,2,5,5,5,4,4,5,5,,1,3,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,5,3,,,,,,,,5,2,,,,1.9817323
2020-10-19,27,5,1,1,5,2,5,1,1,2,2,1,1,4,,2,1,1,0,0,0,0,,4,1,1,,,1,2,,,,,1,1,1,5,4,5,1,1,4,4,4,1,5,5,5,2,3,5,3,4,5,5,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,3,0,,1,1,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,10,3,,,,,,,,3,2,,,,0.5724587
